Datum,Temperatur
2 7 10:16:44 2022,21.44
2 7 10:17:4 2022,21.44
2 7 10:17:7 2022,21.44
2 7 10:17:11 2022,21.44
2 7 10:17:14 2022,21.44
2 7 10:17:18 2022,21.44
2 7 10:17:22 2022,21.44
2 7 10:17:26 2022,21.44
2 7 10:17:29 2022,21.44
2 7 10:17:33 2022,21.44
2 7 10:17:36 2022,21.44
2 7 10:17:40 2022,21.44
2 7 10:17:44 2022,21.44
2 7 10:17:48 2022,21.37
2 7 10:17:51 2022,21.37
2 7 10:17:55 2022,21.44
2 7 10:17:58 2022,21.44
2 7 10:18:2 2022,21.44
2 7 10:18:6 2022,21.44
2 7 10:18:10 2022,21.37
2 7 10:18:13 2022,21.37
2 7 10:18:17 2022,21.44
