Start logging on: 2022/2/6 
Celsius              Time
22.81                 22:26:28
Start logging on: 2022/2/6 
Celsius              Time
22.81                 22:26:32
22.81                 22:26:36
22.75                 22:26:40
22.75                 22:26:43
22.06                 22:26:47
22.06                 22:26:50
21.87                 22:26:54
21.87                 22:26:58
21.87                 22:27:2
21.87                 22:27:5
21.81                 22:27:9
21.81                 22:27:12
21.37                 22:27:16
21.37                 22:27:19
21.25                 22:27:24
21.25                 22:27:27
21.12                 22:27:31
21.12                 22:27:34
21.12                 22:27:38
21.12                 22:27:41
21.00                 22:27:45
21.00                 22:27:49
20.94                 22:27:53
20.94                 22:27:56
20.94                 22:28:0
20.94                 22:28:3
20.87                 22:28:7
20.87                 22:28:11
20.81                 22:28:15
20.81                 22:28:18
20.81                 22:28:22
20.81                 22:28:25
20.75                 22:28:29
20.75                 22:28:33
20.75                 22:28:37
20.75                 22:28:40
20.75                 22:28:44
20.75                 22:28:47
59.44                 22:28:51
59.44                 22:28:55
77.50                 22:28:59
77.50                 22:29:2
83.25                 22:29:6
83.25                 22:29:9
85.50                 22:29:13
85.50                 22:29:17
86.44                 22:29:21
86.44                 22:29:24
86.62                 22:29:28
86.62                 22:29:31
86.69                 22:29:35
86.69                 22:29:38
86.75                 22:29:43
86.75                 22:29:46
86.62                 22:29:50
86.62                 22:29:53
86.44                 22:29:57
86.44                 22:30:0
86.37                 22:30:4
86.37                 22:30:8
86.19                 22:30:12
86.19                 22:30:15
86.00                 22:30:19
86.00                 22:30:22
85.87                 22:30:26
85.87                 22:30:30
85.69                 22:30:34
85.69                 22:30:37
85.62                 22:30:41
85.62                 22:30:44
85.50                 22:30:48
85.50                 22:30:52
85.19                 22:30:56
85.19                 22:30:59
85.06                 22:31:3
85.06                 22:31:6
84.81                 22:31:10
84.81                 22:31:14
84.62                 22:31:18
84.62                 22:31:21
84.50                 22:31:25
84.50                 22:31:28
84.44                 22:31:32
84.44                 22:31:36
84.31                 22:31:40
84.31                 22:31:43
84.19                 22:31:47
84.19                 22:31:50
84.06                 22:31:54
84.06                 22:31:58
83.87                 22:32:2
83.87                 22:32:5
83.50                 22:32:9
83.50                 22:32:12
83.31                 22:32:16
83.31                 22:32:19
83.19                 22:32:24
83.19                 22:32:27
83.12                 22:32:31
83.12                 22:32:34
82.87                 22:32:38
82.87                 22:32:41
82.81                 22:32:45
82.81                 22:32:49
82.69                 22:32:53
82.69                 22:32:56
82.37                 22:33:0
82.37                 22:33:3
82.12                 22:33:7
82.12                 22:33:11
82.06                 22:33:15
82.06                 22:33:18
82.00                 22:33:22
82.00                 22:33:25
81.87                 22:33:29
81.87                 22:33:33
81.69                 22:33:37
81.69                 22:33:40
81.44                 22:33:44
81.44                 22:33:47
81.31                 22:33:51
81.31                 22:33:55
81.31                 22:33:59
81.31                 22:34:2
81.25                 22:34:6
81.25                 22:34:9
81.06                 22:34:13
81.06                 22:34:17
80.94                 22:34:21
80.94                 22:34:24
80.62                 22:34:28
80.62                 22:34:31
80.37                 22:34:35
80.37                 22:34:38
80.37                 22:34:43
80.37                 22:34:46
80.25                 22:34:50
80.25                 22:34:53
80.12                 22:34:57
80.12                 22:35:0
79.94                 22:35:4
79.94                 22:35:8
79.75                 22:35:12
79.75                 22:35:15
79.50                 22:35:19
79.50                 22:35:22
79.50                 22:35:26
79.50                 22:35:30
79.37                 22:35:34
79.37                 22:35:37
79.31                 22:35:41
79.31                 22:35:44
79.25                 22:35:48
79.25                 22:35:52
79.06                 22:35:56
79.06                 22:35:59
78.87                 22:36:3
78.87                 22:36:6
78.81                 22:36:10
78.81                 22:36:14
78.56                 22:36:18
78.56                 22:36:21
78.31                 22:36:25
78.31                 22:36:28
78.25                 22:36:32
78.25                 22:36:36
78.19                 22:36:40
78.19                 22:36:43
78.12                 22:36:47
78.12                 22:36:50
78.06                 22:36:54
78.06                 22:36:58
77.81                 22:37:2
77.81                 22:37:5
77.62                 22:37:9
77.62                 22:37:12
77.62                 22:37:16
77.62                 22:37:19
77.50                 22:37:24
77.50                 22:37:27
77.31                 22:37:31
77.31                 22:37:34
77.25                 22:37:38
77.25                 22:37:41
77.12                 22:37:45
77.12                 22:37:49
77.00                 22:37:53
77.00                 22:37:56
76.94                 22:38:0
76.94                 22:38:3
76.69                 22:38:7
76.69                 22:38:11
76.50                 22:38:15
76.50                 22:38:18
76.37                 22:38:22
76.37                 22:38:25
76.31                 22:38:29
76.31                 22:38:33
76.25                 22:38:37
76.25                 22:38:40
76.19                 22:38:44
76.19                 22:38:47
76.06                 22:38:51
76.06                 22:38:55
75.94                 22:38:59
75.94                 22:39:2
75.81                 22:39:6
75.81                 22:39:9
75.75                 22:39:13
75.75                 22:39:17
75.56                 22:39:21
75.56                 22:39:24
75.44                 22:39:28
75.44                 22:39:31
75.31                 22:39:35
75.31                 22:39:39
75.19                 22:39:43
75.19                 22:39:46
75.06                 22:39:50
75.06                 22:39:53
74.87                 22:39:57
74.87                 22:40:0
74.81                 22:40:5
74.81                 22:40:8
74.62                 22:40:12
74.62                 22:40:15
74.50                 22:40:19
74.50                 22:40:22
74.44                 22:40:26
74.44                 22:40:30
74.37                 22:40:34
74.37                 22:40:37
74.31                 22:40:41
74.31                 22:40:44
74.25                 22:40:48
74.25                 22:40:52
74.19                 22:40:56
74.19                 22:40:59
74.00                 22:41:3
74.00                 22:41:6
73.87                 22:41:10
73.87                 22:41:14
73.81                 22:41:18
73.81                 22:41:21
73.69                 22:41:25
73.69                 22:41:28
73.69                 22:41:32
73.69                 22:41:36
73.62                 22:41:40
73.62                 22:41:43
73.56                 22:41:47
73.56                 22:41:50
73.37                 22:41:54
73.37                 22:41:58
73.31                 22:42:2
73.31                 22:42:5
73.12                 22:42:9
73.12                 22:42:12
73.00                 22:42:16
73.00                 22:42:19
72.81                 22:42:24
72.81                 22:42:27
72.75                 22:42:31
72.75                 22:42:34
72.62                 22:42:38
72.62                 22:42:41
72.50                 22:42:45
72.50                 22:42:49
72.44                 22:42:53
72.44                 22:42:56
72.37                 22:43:0
72.37                 22:43:3
72.25                 22:43:7
72.25                 22:43:11
72.25                 22:43:15
72.25                 22:43:18
72.06                 22:43:22
72.06                 22:43:25
71.94                 22:43:29
71.94                 22:43:33
71.75                 22:43:37
71.75                 22:43:40
71.69                 22:43:44
71.69                 22:43:47
71.50                 22:43:51
71.50                 22:43:55
71.31                 22:43:59
71.31                 22:44:2
71.25                 22:44:6
71.25                 22:44:9
71.12                 22:44:13
71.12                 22:44:17
71.06                 22:44:21
71.06                 22:44:24
70.87                 22:44:28
70.87                 22:44:31
70.81                 22:44:35
70.81                 22:44:39
70.75                 22:44:43
70.75                 22:44:46
70.69                 22:44:50
70.69                 22:44:53
70.56                 22:44:57
70.56                 22:45:0
70.56                 22:45:5
70.56                 22:45:8
70.50                 22:45:12
70.50                 22:45:15
70.44                 22:45:19
70.44                 22:45:22
70.31                 22:45:26
70.31                 22:45:30
70.25                 22:45:34
70.25                 22:45:37
70.06                 22:45:41
70.06                 22:45:44
69.94                 22:45:48
69.94                 22:45:52
69.87                 22:45:56
69.87                 22:45:59
69.81                 22:46:3
69.81                 22:46:6
69.69                 22:46:10
69.69                 22:46:14
69.62                 22:46:18
69.62                 22:46:21
69.62                 22:46:25
69.62                 22:46:28
69.50                 22:46:32
69.50                 22:46:36
69.44                 22:46:40
69.44                 22:46:43
69.19                 22:46:47
69.19                 22:46:50
69.06                 22:46:54
69.06                 22:46:58
69.06                 22:47:2
69.06                 22:47:5
68.94                 22:47:9
68.94                 22:47:12
68.81                 22:47:16
68.81                 22:47:19
68.75                 22:47:24
68.75                 22:47:27
68.69                 22:47:31
68.69                 22:47:34
68.62                 22:47:38
68.62                 22:47:41
68.62                 22:47:45
68.62                 22:47:49
68.50                 22:47:53
68.50                 22:47:56
68.37                 22:48:0
68.37                 22:48:3
68.31                 22:48:7
68.31                 22:48:11
68.19                 22:48:15
68.19                 22:48:18
68.12                 22:48:22
68.12                 22:48:25
67.94                 22:48:29
67.94                 22:48:33
67.87                 22:48:37
67.87                 22:48:40
67.75                 22:48:44
67.75                 22:48:47
67.75                 22:48:51
67.75                 22:48:55
67.69                 22:48:59
67.69                 22:49:2
67.62                 22:49:6
67.62                 22:49:9
67.56                 22:49:13
67.56                 22:49:17
67.50                 22:49:21
67.50                 22:49:24
67.37                 22:49:28
67.37                 22:49:31
67.31                 22:49:35
67.31                 22:49:39
67.25                 22:49:43
67.25                 22:49:46
67.19                 22:49:50
67.19                 22:49:53
67.12                 22:49:57
67.12                 22:50:0
67.06                 22:50:5
67.06                 22:50:8
66.87                 22:50:12
66.87                 22:50:15
66.69                 22:50:19
66.69                 22:50:22
66.69                 22:50:26
66.69                 22:50:30
66.56                 22:50:34
66.56                 22:50:37
66.44                 22:50:41
66.44                 22:50:44
66.25                 22:50:48
66.25                 22:50:52
66.12                 22:50:56
66.12                 22:50:59
66.06                 22:51:3
66.06                 22:51:6
66.06                 22:51:10
66.06                 22:51:14
66.06                 22:51:18
Start logging on: 2022/2/6 
Celsius              Time
56.06                 23:11:44
56.06                 23:11:48
56.00                 23:11:52
56.00                 23:11:55
55.94                 23:11:59
55.94                 23:12:2
55.94                 23:12:6
55.94                 23:12:10
55.88                 23:12:14
Start logging on: 2022/2/6 
Celsius              Time
55.81                 23:12:31
55.81                 23:12:35
55.75                 23:12:39
55.75                 23:12:42
55.75                 23:12:46
55.75                 23:12:49
55.69                 23:12:53
55.69                 23:12:57
55.63                 23:13:1
55.63                 23:13:4
55.56                 23:13:8
55.56                 23:13:11
55.50                 23:13:15
55.50                 23:13:19
55.50                 23:13:23
55.50                 23:13:26
55.50                 23:13:30
55.50                 23:13:33
55.38                 23:13:37
55.38                 23:13:40
55.25                 23:13:45
55.25                 23:13:48
55.19                 23:13:52
55.19                 23:13:55
55.13                 23:13:59
55.13                 23:14:2
55.13                 23:14:6
55.13                 23:14:10
55.06                 23:14:14
55.06                 23:14:17
Start logging on: 2022/2/7 
Celsius              Time
21.06                 8:4:17
21.06                 8:4:21
Start logging on: 2022/2/7 
Celsius              Time
21.06                 8:4:29
21.06                 8:4:33
21.12                 8:4:37
21.12                 8:4:40
21.12                 8:4:44
21.12                 8:4:47
21.12                 8:4:51
21.12                 8:4:55
21.12                 8:4:59
21.12                 8:5:2
21.19                 8:5:6
21.19                 8:5:9
21.12                 8:5:13
21.12                 8:5:17
21.12                 8:5:21
21.12                 8:5:24
21.19                 8:5:28
21.19                 8:5:31
21.19                 8:5:35
21.19                 8:5:38
21.19                 8:5:43
21.19                 8:5:46
21.12                 8:5:50
21.12                 8:5:53
21.19                 8:5:57
21.19                 8:6:0
21.19                 8:6:4
21.19                 8:6:8
21.12                 8:6:12
21.12                 8:6:15
21.12                 8:6:19
21.12                 8:6:22
21.19                 8:6:26
21.19                 8:6:30
21.19                 8:6:34
21.19                 8:6:37
21.19                 8:6:41
21.19                 8:6:44
21.19                 8:6:48
21.19                 8:6:52
21.19                 8:6:56
21.19                 8:6:59
21.19                 8:7:3
21.19                 8:7:6
21.19                 8:7:10
21.19                 8:7:14
21.19                 8:7:18
21.19                 8:7:21
21.19                 8:7:25
21.19                 8:7:28
21.19                 8:7:32
21.19                 8:7:36
21.19                 8:7:40
21.19                 8:7:43
21.19                 8:7:47
21.19                 8:7:50
21.25                 8:7:54
21.25                 8:7:58
21.19                 8:8:2
21.19                 8:8:5
21.25                 8:8:9
21.25                 8:8:12
21.19                 8:8:16
21.19                 8:8:19
21.19                 8:8:23
21.19                 8:8:27
21.25                 8:8:31
21.25                 8:8:34
21.19                 8:8:38
21.19                 8:8:41
21.25                 8:8:45
21.25                 8:8:49
21.19                 8:8:53
21.19                 8:8:56
21.25                 8:9:0
21.25                 8:9:3
21.25                 8:9:7
21.25                 8:9:11
21.25                 8:9:15
21.25                 8:9:18
21.25                 8:9:22
21.25                 8:9:25
21.25                 8:9:29
21.25                 8:9:33
21.25                 8:9:37
21.25                 8:9:40
21.25                 8:9:44
21.25                 8:9:47
21.25                 8:9:51
21.25                 8:9:55
21.25                 8:9:59
21.25                 8:10:2
21.25                 8:10:6
21.25                 8:10:9
21.25                 8:10:13
21.25                 8:10:17
21.25                 8:10:21
21.25                 8:10:24
21.25                 8:10:28
21.25                 8:10:31
21.25                 8:10:35
21.25                 8:10:38
21.25                 8:10:43
21.25                 8:10:46
21.25                 8:10:50
21.25                 8:10:53
21.25                 8:10:57
21.25                 8:11:0
21.25                 8:11:4
21.25                 8:11:8
21.25                 8:11:12
21.25                 8:11:15
21.25                 8:11:19
21.25                 8:11:22
21.25                 8:11:26
21.25                 8:11:30
21.25                 8:11:34
21.25                 8:11:37
21.25                 8:11:41
21.25                 8:11:44
21.25                 8:11:48
21.25                 8:11:52
21.25                 8:11:56
21.25                 8:11:59
21.25                 8:12:3
21.25                 8:12:6
21.31                 8:12:10
21.31                 8:12:14
21.31                 8:12:18
21.31                 8:12:21
21.31                 8:12:25
21.31                 8:12:28
21.25                 8:12:32
21.25                 8:12:36
21.25                 8:12:40
21.25                 8:12:43
21.25                 8:12:47
21.25                 8:12:50
21.25                 8:12:54
21.25                 8:12:57
21.31                 8:13:2
21.31                 8:13:5
21.31                 8:13:9
21.31                 8:13:12
21.25                 8:13:16
21.25                 8:13:19
21.25                 8:13:24
21.25                 8:13:27
21.31                 8:13:31
21.31                 8:13:34
21.25                 8:13:38
21.25                 8:13:41
21.25                 8:13:45
21.25                 8:13:49
21.25                 8:13:53
21.25                 8:13:56
21.25                 8:14:0
21.25                 8:14:3
21.31                 8:14:7
21.31                 8:14:11
21.25                 8:14:15
21.25                 8:14:18
21.25                 8:14:22
21.25                 8:14:25
21.31                 8:14:29
21.31                 8:14:33
21.31                 8:14:37
21.31                 8:14:40
21.25                 8:14:44
21.25                 8:14:47
21.31                 8:14:51
21.31                 8:14:55
21.25                 8:14:59
21.25                 8:15:2
21.31                 8:15:6
21.31                 8:15:9
21.31                 8:15:13
21.31                 8:15:17
21.31                 8:15:21
21.31                 8:15:24
21.31                 8:15:28
21.31                 8:15:31
21.31                 8:15:35
21.31                 8:15:38
21.31                 8:15:43
21.31                 8:15:46
21.31                 8:15:50
21.31                 8:15:53
21.31                 8:15:57
21.31                 8:16:0
21.31                 8:16:4
21.31                 8:16:8
21.31                 8:16:12
21.31                 8:16:15
21.31                 8:16:19
21.31                 8:16:22
21.31                 8:16:26
21.31                 8:16:30
21.31                 8:16:34
21.31                 8:16:37
21.31                 8:16:41
21.31                 8:16:44
21.31                 8:16:48
21.31                 8:16:52
21.31                 8:16:56
21.31                 8:16:59
21.31                 8:17:3
21.31                 8:17:6
21.31                 8:17:10
21.31                 8:17:14
21.31                 8:17:18
21.31                 8:17:21
21.31                 8:17:25
21.31                 8:17:28
21.31                 8:17:32
21.31                 8:17:36
21.31                 8:17:40
21.31                 8:17:43
21.31                 8:17:47
21.31                 8:17:50
21.31                 8:17:54
21.31                 8:17:57
21.31                 8:18:2
21.31                 8:18:5
21.31                 8:18:9
21.31                 8:18:12
21.31                 8:18:16
21.31                 8:18:19
21.31                 8:18:23
21.31                 8:18:27
21.31                 8:18:31
21.31                 8:18:34
21.31                 8:18:38
21.31                 8:18:41
21.31                 8:18:45
21.31                 8:18:49
21.31                 8:18:53
21.31                 8:18:56
21.31                 8:19:0
21.31                 8:19:3
21.37                 8:19:7
21.37                 8:19:11
21.37                 8:19:15
21.37                 8:19:18
21.31                 8:19:22
21.31                 8:19:25
21.31                 8:19:29
21.31                 8:19:33
21.37                 8:19:37
21.37                 8:19:40
